Unnamed: 0,id,title,sub_title,date,persian_date,service,category,agency,relevance,duplicate,protests_categories,protest_ritual,violent,protest_form_en,protest_form_fa,issue,issue_specific,local_national_international,issue_location_name,location_category,target,organizer_type,civil_society_sector,main_political_sector,event_location_name,size_of_participants,arena_name,arena_type,event_date,is_multi_day,date_range_start,date_range_end,days_duration,_processing_status,_model_used,event_day,original_article_id,_is_expanded,duplicate_group_id
51893,1411560,«حق تشکل، تجمع و راهپیمایی»,/منشور حقوق شهروندی را بیشتر بشناسیم/,2017-01-03 06:36:27,سه‌شنبه ۱۴ دی ۱۳۹۵ - ۰۹:۰۶,سرویس سیاسی,"
                        حقوقی و قضایی
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Human rights,N/A,National,Unknown,Unknown,Government,Unknown,Human rights,Unknown,Unknown,Unknown,Unknown,Unknown,2017-01-03,No,2017-01-03,2017-01-03,1.0,success,gpt-4o-mini,,,,
51897,1408702,تجمع جمعی از کارگران و نهادهای صنفی در مقابل مجلس,,2017-01-03 07:26:27,سه‌شنبه ۱۴ دی ۱۳۹۵ - ۰۹:۵۶,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Labour,N/A,Local,Unknown,Capital,Government,Labour Union,Labour,Unknown,تهران,small group < 15,مقابل مجلس,Parliament area,2017-01-03,No,2017-01-03,2017-01-03,1.0,success,gpt-4o-mini,,,,
51920,1411989,جمعی از مالباختگان شرکت کنترسازی ایران مقابل مجلس تجمع کردند,,2017-01-04 09:43:03,چهارشنبه ۱۵ دی ۱۳۹۵ - ۱۲:۱۳,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Financial/banking,N/A,Local,Unknown,Capital,Judiciary,Ordinary Citizens,Economic/trade/business,Unknown,تهران,medium group <50,مقابل مجلس,Parliament area,2017-01-04,No,2017-01-04,2017-01-04,1.0,success,gpt-4o-mini,,,,
51924,1408028,برگزاری قرعه‌کشی کمپین «حساب‌هایی که حساب شدند»,توسط بانک کشاورزی صورت گرفت,2017-01-04 14:13:18,چهارشنبه ۱۵ دی ۱۳۹۵ - ۱۶:۴۳,سرویس بازار,"
                        خبر بازار
                        
                    ",isna,Yes,No,,Ritual,Unknown,,,Unknown,N/A,National,Unknown,National,Unknown,Unknown,Unknown,Unknown,Unknown,"29,461",ساختمان مرکزی بانک کشاورزی,Public place,2017-01-04,No,2017-01-04,2017-01-04,1.0,success,gpt-4o-mini,,,,
51933,1407826,کمپین ظریف,,2017-01-05 11:40:00,پنجشنبه ۱۶ دی ۱۳۹۵ - ۱۴:۱۰,سرویس ایسنا+,"
                        رسانه دیگر
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,Civil campaigning,کمپین مدنی یا پویشگری,Political,N/A,Local,Unknown,NA,Government,Online Community,Political,Unknown,Unknown,unknown,Unknown,Online,2017-01-05,No,2017-01-05,2017-01-05,1.0,success,gpt-4o-mini,,,,
51935,1407756,تجمعی که بر اثر سوءتفاهم ایجاد شد/ جاده کرمان – کوهپایه باز شد,,2017-01-05 16:27:22,پنجشنبه ۱۶ دی ۱۳۹۵ - ۱۸:۵۷,سرویس استان ها,"
                        کرمان
                        
                    ",isna,Yes,No,Confrontational protests (illegal and non violent),Protest,NO,blockade,بلوک کردن مسیر,Urban,N/A,Local,کرمان,City,Local authorities/agencies,Ordinary Citizens,Urban,Unknown,جاده کرمان – کوهپایه,small group < 15,جاده کرمان – کوهپایه,Out of residential areas/ Roads,2017-01-05,No,2017-01-05,2017-01-05,1.0,success,gpt-4o-mini,,,,
51954,1406330,اعتراض یک خواننده به فروش بلیت‌های جشنواره,,2017-01-07 12:27:00,شنبه ۱۸ دی ۱۳۹۵ - ۱۴:۵۷,سرویس فرهنگی و هنری,"
                        تجسمی و موسیقی
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Cultural,N/A,Local,Unknown,City,Government,Unknown,Cultural,Unknown,Unknown,Unknown,Unknown,Unknown,2017-01-07,No,2017-01-07,2017-01-07,1.0,success,gpt-4o-mini,,,,
51961,1406055,تجمع جمعی از معلمان حق‌التدریسی مقابل مجلس,,2017-01-08 06:00:42,یکشنبه ۱۹ دی ۱۳۹۵ - ۰۸:۳۰,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Labour,N/A,National,Unknown,Capital,Parliament,Labour Union,Teachers,Unknown,تهران,medium group <50,مقابل مجلس,Parliament area,2017-01-08,No,,,1.0,success,gpt-4o-mini,,,,
51984,1407018,تجمع تعدادی از مردم شیراز در اعتراض به انتشار پارازیت,,2017-01-09 10:50:46,دوشنبه ۲۰ دی ۱۳۹۵ - ۱۳:۲۰,سرویس استان ها,"
                        فارس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Environmental,Env_Air pollution,Local,شیراز,City,Government,Ordinary Citizens,Environmental,Unknown,مقابل استانداری فارس,medium group < 50,مقابل استانداری فارس,In front of state buildings,2017-01-09,No,,,1.0,success,gpt-4o-mini,,,,
52014,1403360,تجمع جمعی از کارگزاران بیمه کشاورزی و بازنشستگان فولاد مقابل مجلس,,2017-01-11 08:23:51,چهارشنبه ۲۲ دی ۱۳۹۵ - ۱۰:۵۳,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Labour,N/A,Local,Unknown,Capital,Government,Labour Union,Labour,Unknown,تهران,medium group <50,مقابل مجلس شورای اسلامی,Parliament area,2017-01-11,No,2017-01-11,2017-01-11,1.0,success,gpt-4o-mini,,,,
