Unnamed: 0,id,title,sub_title,date,persian_date,service,category,agency,relevance,duplicate,protests_categories,protest_ritual,violent,protest_form_en,protest_form_fa,issue,issue_specific,local_national_international,issue_location_name,location_category,target,organizer_type,civil_society_sector,main_political_sector,event_location_name,size_of_participants,arena_name,arena_type,event_date,is_multi_day,date_range_start,date_range_end,days_duration,_processing_status,_model_used,event_day,original_article_id,_is_expanded,duplicate_group_id
45874,281494,عکس/اعتراض خلاقانه به زباله‌سازی در تهران,,2016-01-01 08:20:02,جمعه ۱۱ دی ۱۳۹۴ - ۱۰:۵۰,سرویس ایسنا+,"
                        رسانه دیگر
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,symbolic demonstrations,اعتراضات نمادین,Environmental,Env_Waste Disposal,Local,Unknown,Capital,Government,Ordinary Citizens,Environmental,Unknown,تهران,unknown,Unknown,Public place,2016-01-01,No,,,1.0,success,gpt-4o-mini,,,,
45876,270938,کمپین ابتکار برای کاهش آلودگی هوا و گازهای گلخانه‌ای, «دمای 18 درجه»,2016-01-01 08:54:48,جمعه ۱۱ دی ۱۳۹۴ - ۱۱:۲۴,سرویس اجتماعی,"
                        محیط زیست
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Environmental,Env_Air pollution,National,Unknown,NA,Government,Campaign,Environmental,Unknown,Unknown,Unknown,Unknown,Unknown,2016-01-01,No,2016-01-01,2016-01-01,1.0,success,gpt-4o-mini,,,,
45887,281554,نامه فعالان محیط زیستی به مجلس و درخواست برای تصویب لایحه هوای پاک,,2016-01-01 12:47:47,جمعه ۱۱ دی ۱۳۹۴ - ۱۵:۱۷,سرویس اجتماعی,"
                        محیط زیست
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Environmental,Env_Air pollution,National,Unknown,NA,Parliament,NGO/Community,Environmental,Unknown,Unknown,medium group <50,Unknown,Unknown,2016-01-01,No,2016-01-01,2016-01-01,1.0,success,gpt-4o-mini,,,,
45897,281751,دانشجویان در اعتراض به اعدام شیخ نمر در برابر سفارت عربستان تجمع می‌کنند,به همت بسیج دانشجویی دانشگاه‌های تهران بزرگ؛,2016-01-02 10:48:33,شنبه ۱۲ دی ۱۳۹۴ - ۱۳:۱۸,سرویس سیاسی,"
                        سیاست خارجی
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Human rights,N/A,Local,Unknown,Capital,Government,Formal student group,Student Movement,Unknown,مقابل سفارت عربستان,unknown,مقابل سفارت عربستان,International office/ embassy,2016-01-02,No,2016-01-02,2016-01-02,1.0,success,gpt-4o-mini,,,,
45907,281859,اعتراض به اعدام شیخ نمر با تجمع در مقابل سفارت عربستان,,2016-01-02 15:46:59,شنبه ۱۲ دی ۱۳۹۴ - ۱۸:۱۶,سرویس سیاسی,"
                        سیاست خارجی
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Religious,N/A,Local,Unknown,Capital,International Institution/Country,Informal Group,Religious,Unknown,تهران,small group < 15,مقابل سفارت عربستان سعودی,International office/ embassy,2016-01-02,No,2016-01-02,2016-01-02,1.0,success,gpt-4o-mini,,,,
45908,281866,اعتراض نماینده و فعالان مدنی بابل به تخریب آثار تاریخی,,2016-01-02 16:04:20,شنبه ۱۲ دی ۱۳۹۴ - ۱۸:۳۴,سرویس فرهنگی و هنری,"
                        گردشگری و میراث
                        
                    ",isna,Yes,No,Petitioning,Protest,NO,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Cultural,N/A,Local,بابل,City,Local authorities/agencies,NGO/Community,Cultural,Unknown,بابل,medium group < 50,Unknown,Unknown,2016-01-02,No,2016-01-02,2016-01-02,1.0,success,gpt-4o-mini,,,,
45909,270413,تجمع در اعتراض به اعدام شیخ نمر در مقابل کنسولگری عربستان در مشهد,,2016-01-02 18:01:31,شنبه ۱۲ دی ۱۳۹۴ - ۲۰:۳۱,سرویس عکس,,isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Religious,N/A,Local,Unknown,City,International Institution/Country,Ordinary Citizens,Religious,Unknown,مشهد,unknown,مقابل کنسولگری عربستان,International office/ embassy,2016-01-02,No,,,1.0,success,gpt-4o-mini,,,,
45910,270393,واکنش سخنگوی وزارت خارجه به تجمع مقابل سفارت عربستان,,2016-01-02 23:02:04,یکشنبه ۱۳ دی ۱۳۹۴ - ۰۱:۳۲,سرویس سیاسی,"
                        سیاست خارجی
                        
                    ",isna,Yes,No,Petitioning,Protest,No,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Political,N/A,Local,Unknown,Capital,International Institution/Country,Unknown,Unknown,Unknown,تهران,Unknown,مقابل سفارت عربستان,International office/ embassy,2016-01-02,No,,,1.0,success,gpt-4o-mini,,,,
45911,270406,پایان تجمع اعتراضی مقابل سفارت عربستان با دخالت نیروی انتظامی,,2016-01-02 23:57:42,یکشنبه ۱۳ دی ۱۳۹۴ - ۰۲:۲۷,سرویس سیاسی,"
                        سیاست خارجی
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Political,N/A,Local,Unknown,Capital,International Institution/Country,Ordinary Citizens,Political,Unknown,تهران,unknown,مقابل سفارت عربستان,International office/ embassy,2016-01-02,No,,,1.0,success,gpt-4o-mini,,,,
45912,281892,تجمع اعتراضی مقابل سفارت عربستان در تهران ,,2016-01-03 00:17:52,یکشنبه ۱۳ دی ۱۳۹۴ - ۰۲:۴۷,سرویس عکس,,isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,No,public assembly,تجمع / اجتماع,Religious,N/A,Local,Unknown,Capital,Government,Ordinary Citizens,Religious,Unknown,تهران,unknown,مقابل سفارت عربستان,International office/ embassy,2016-01-03,No,,,1.0,success,gpt-4o-mini,,,,
45915,270371,"کمپینی که به \بله به خرید خودروهای ایرانی\"" تبدیل شد!""",,2016-01-03 06:41:32,یکشنبه ۱۳ دی ۱۳۹۴ - ۰۹:۱۱,سرویس استان ها,"
                        البرز
                        
                    ",isna,Yes,No,Petitioning,Protest,No,"Contacting politicians, officials, parliament members, media etc.",تماس با سیاستمداران و مسئولان و رسانه‌ها,Economic,N/A,Local,کرج,City,Government,Ordinary Citizens,Economic/trade/business,Unknown,کرج,unknown,Unknown,Unknown,2016-01-03,No,,,1.0,success,gpt-4o-mini,,,,
45920,281966,تجمع اعتراض آمیز در پی شهادت شیخ النمر امروز برگزار می‌شود,استانداری تهران:,2016-01-03 08:02:44,یکشنبه ۱۳ دی ۱۳۹۴ - ۱۰:۳۲,سرویس سیاسی,"
                        سیاست داخلی
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Religious,N/A,Local,Unknown,City,Government,Political Org./Party,Religious,Unknown,میدان فلسطین,small group < 15,میدان فلسطین,Public place,2016-01-03,No,2016-01-03,2016-01-03,1.0,success,gpt-4o-mini,,,,
45921,270302,اعتراضات به شهادت شیخ نمر منطقی و در چارچوب اصول دیپلماتیک باشد,سبحانی‌نیا در گفت‌وگو با ایسنا،,2016-01-03 08:12:21,یکشنبه ۱۳ دی ۱۳۹۴ - ۱۰:۴۲,سرویس سیاسی,"
                        مجلس
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Political,N/A,National,Unknown,Capital,International Institution/Country,Unknown,Unknown,Unknown,مقابل کنسولگری عربستان در مشهد و سفارت این کشور در تهران,medium group < 50,مقابل کنسولگری عربستان,International office/ embassy,2016-01-03,No,2016-01-03,2016-01-03,1.0,success,gpt-4o-mini,,,,
45924,281979,تجمع طلاب و روحانیون قم در اعتراض به اعدام شیخ نمر,,2016-01-03 08:20:36,یکشنبه ۱۳ دی ۱۳۹۴ - ۱۰:۵۰,سرویس فرهنگی و هنری,"
                        دین و اندیشه
                        
                    ",isna,Yes,No,Demonstrative protests (legal and nonviolent),Protest,NO,public assembly,تجمع / اجتماع,Religious,N/A,Local,Unknown,City,Government,Formal religious group,Religious,Unknown,مسجد اعظم قم,medium group <50,مسجد اعظم قم,Public place,2016-01-03,No,2016-01-03,2016-01-03,1.0,success,gpt-4o-mini,,,,
